lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.8	21.6	23.6	12.6	13.2	4.5	14.7	20.6
en-de	25.4	26.7	21.5	17.6	22.5	12.1	23.2	30.6
en-fi	12.3	8.4	19.7	6.9	12.7	NA	13.1	16.2
en-fr	31.4	35.3	33.7	23.9	29.2	13.1	31.2	39.4
en-lt	4.6	4.5	5.1	1.0	1.1	NA	1.4	6.3
en-ro	22.6	24.2	22.2	16.2	18.1	5.3	21.6	25.0
en-ta	NA	NA	0.6	0.8	0.4	0.0	0.1	1.7
cs-en	33.4	35.5	26.4	23.6	24.3	9.5	26.5	NA
fr-en	38.5	42.6	37.6	27.6	35.3	17.1	34.9	NA
lt-en	9.8	13.7	3.4	2.2	5.0	NA	6.4	NA
ro-en	38.7	39.7	24.0	29.2	29.6	9.2	33.2	NA
mean	23.4	25.2	19.8	14.7	17.4	8.8	18.8	20.0
