lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	69.5	68.7	53.5	65.7	67.1	58.4	73.1	NA
en-de	65.6	66.2	55.5	69.9	71.2	62.9	75.5	NA
en-fi	67.2	67.4	52.9	67.3	70.3	NA	77.0	NA
en-fr	66.4	66.2	55.1	68.9	69.6	57.1	77.0	NA
en-lt	43.8	40.2	45.3	46.7	42.1	NA	42.3	NA
en-ro	64.8	70.4	53.2	69.3	71.3	62.3	76.0	NA
en-ta	NA	NA	39.1	45.3	37.2	32.7	38.1	NA
cs-en	72.4	71.9	58.3	70.5	72.7	62.1	76.2	NA
fr-en	67.7	71.0	64.6	71.5	73.3	66.7	74.9	NA
lt-en	59.1	60.2	48.0	52.3	55.6	NA	57.6	NA
ro-en	67.8	71.8	59.1	72.9	73.6	60.6	75.6	NA
mean	64.4	65.4	53.1	63.7	64.0	57.9	67.6	NA
