lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.2	83.9	78.6	73.1	74.5	65.9	77.2	79.1
en-de	79.0	81.5	76.9	75.3	77.1	69.8	80.1	85.3
en-fi	78.6	80.1	77.4	75.4	78.3	NA	80.2	77.9
en-fr	80.5	84.9	75.7	75.1	76.7	69.7	81.4	85.6
en-lt	49.1	45.7	62.2	50.7	45.2	NA	43.2	57.7
en-ro	79.2	85.0	76.0	75.5	76.9	67.6	80.8	79.8
en-ta	NA	NA	49.7	47.6	36.2	30.8	38.7	43.0
cs-en	82.2	81.7	76.9	75.7	77.3	65.8	80.2	NA
fr-en	82.4	84.8	79.1	78.3	80.9	73.1	84.6	NA
lt-en	59.8	60.7	52.3	49.5	51.5	NA	53.5	NA
ro-en	80.5	82.5	75.5	76.6	78.6	65.4	83.0	NA
mean	75.1	77.1	70.9	68.4	68.5	63.5	71.2	72.6
