lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.1	24.4	6.2	6.8	12.4	16.8	14.1	13.0
en-de	15.5	26.3	11.2	7.9	14.0	17.2	16.4	10.7
en-fi	12.9	17.9	5.6	6.8	10.7	NA	12.4	13.1
en-fr	17.9	28.7	14.5	8.6	15.6	17.4	18.0	12.4
en-lt	17.2	30.6	7.1	9.8	22.1	NA	25.6	15.1
en-ro	17.2	27.2	7.0	8.2	14.2	17.3	16.0	17.9
en-ta	NA	NA	9.1	10.9	22.7	21.7	18.2	16.5
cs-en	17.9	29.4	7.7	7.4	12.7	NA	15.8	NA
fr-en	16.7	29.9	14.5	7.7	14.3	NA	16.6	NA
lt-en	18.2	28.0	11.1	8.8	15.6	NA	16.6	NA
ro-en	17.6	28.8	9.0	8.0	13.8	NA	15.6	NA
mean	16.5	27.1	9.4	8.3	15.3	18.1	16.8	14.1
