lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.4	98.8	91.6	93.4	96.0	98.4	97.6	NA
en-de	97.4	100.0	93.6	99.0	98.8	99.8	99.6	NA
en-fi	97.4	98.6	89.8	97.6	97.6	NA	99.0	NA
en-fr	96.8	99.6	91.6	94.0	97.0	99.8	99.0	NA
en-lt	95.4	98.4	89.6	92.8	94.4	NA	95.6	NA
en-ro	97.6	99.8	86.8	93.0	96.6	99.2	98.4	NA
en-ta	NA	NA	93.6	97.4	95.2	99.4	99.6	NA
cs-en	98.2	99.4	95.4	98.2	99.2	100.0	99.8	NA
fr-en	98.6	99.8	96.2	98.8	99.4	99.8	99.8	NA
lt-en	97.0	97.8	87.0	95.6	97.6	NA	99.0	NA
ro-en	97.4	99.8	91.2	98.0	98.6	99.4	99.6	NA
mean	97.2	99.2	91.5	96.2	97.3	99.5	98.8	NA
