lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.7	20.6	24.8	12.4	12.9	4.8	14.5	20.0
en-de	25.8	26.0	22.4	18.3	22.9	11.7	22.7	30.5
en-fi	12.4	9.8	19.6	6.4	13.7	NA	12.4	15.8
en-fr	31.7	36.0	34.4	22.9	30.1	12.8	30.5	39.4
en-lt	6.3	6.1	6.9	1.3	1.1	NA	1.3	6.8
en-ro	24.5	25.2	22.7	16.4	18.8	5.6	21.8	24.5
en-ta	NA	NA	1.3	0.6	0.5	0.0	0.1	1.8
cs-en	38.4	38.0	28.2	25.8	25.6	9.6	27.6	33.1
fr-en	41.8	45.1	40.1	28.8	35.0	17.1	34.9	42.0
lt-en	17.3	16.0	11.5	4.8	7.8	NA	8.3	12.4
ro-en	41.4	44.1	25.8	30.6	30.8	9.2	34.4	41.0
mean	25.7	26.7	21.6	15.3	18.1	8.8	19.0	24.3
