lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.0	20.8	14.3	10.4	12.4	4.8	13.1	16.7
en-de	23.4	26.2	19.0	18.6	22.0	12.0	22.9	28.5
en-fi	9.0	7.5	12.9	6.6	11.1	NA	12.6	10.0
en-fr	29.6	35.2	33.4	23.9	28.5	13.1	31.7	38.8
en-lt	3.7	3.7	4.7	1.2	1.0	NA	1.4	5.1
en-ro	19.5	23.4	18.7	16.0	17.4	5.4	20.9	22.6
en-ta	NA	NA	0.4	0.6	0.5	0.0	0.1	1.4
cs-en	32.5	34.4	24.4	26.0	26.2	NA	27.9	30.0
fr-en	38.1	42.2	33.8	28.0	36.3	NA	35.1	40.4
lt-en	11.6	14.8	8.5	6.1	8.6	NA	8.8	13.4
ro-en	38.6	40.3	22.8	31.1	31.1	NA	35.4	37.6
mean	22.1	24.9	17.5	15.3	17.7	7.1	19.1	22.2
