lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.3	24.2	6.1	7.1	11.1	16.5	13.8	NA
en-de	15.5	26.3	11.1	7.9	13.8	17.0	16.4	NA
en-fi	12.8	17.8	5.2	6.1	10.0	NA	11.9	NA
en-fr	18.4	28.8	15.0	8.8	15.4	16.7	18.2	NA
en-lt	15.3	27.1	6.0	7.5	15.9	NA	17.5	NA
en-ro	18.3	26.8	6.9	7.6	13.9	16.6	16.2	NA
en-ta	NA	NA	5.8	8.7	20.5	17.5	16.8	NA
cs-en	17.6	29.9	7.1	7.5	12.9	22.2	15.9	NA
fr-en	16.3	29.2	13.6	7.7	14.2	18.3	16.4	NA
lt-en	17.1	30.4	6.5	7.2	15.6	NA	16.0	NA
ro-en	17.7	29.6	7.0	7.9	14.0	18.5	15.8	NA
mean	16.4	27.0	8.2	7.6	14.3	17.9	15.9	NA
