lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.6	83.5	74.0	73.3	73.9	65.4	76.0	NA
en-de	76.5	81.3	75.4	76.0	77.3	70.2	80.1	NA
en-fi	73.9	79.3	72.8	74.2	77.2	NA	80.4	NA
en-fr	79.7	84.0	75.8	75.5	77.3	69.8	81.6	NA
en-lt	47.8	44.4	60.6	51.7	46.0	NA	44.0	NA
en-ro	75.4	84.7	73.0	75.6	76.4	67.3	80.0	NA
en-ta	NA	NA	45.7	47.3	37.9	30.5	38.3	NA
cs-en	83.1	82.6	80.2	77.4	78.7	66.2	81.7	NA
fr-en	83.0	85.0	79.8	79.4	81.6	72.9	85.0	NA
lt-en	64.4	64.8	61.8	54.9	57.6	NA	59.2	NA
ro-en	82.1	84.2	78.6	79.7	80.2	65.4	84.3	NA
mean	74.2	77.4	70.7	69.5	69.5	63.5	71.9	NA
