lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.6	83.1	75.2	73.0	74.0	66.0	76.5	76.1
en-de	77.7	80.8	75.3	76.4	77.4	70.2	80.4	84.2
en-fi	72.8	78.2	73.2	75.2	77.6	NA	80.8	74.2
en-fr	79.1	84.6	75.6	75.6	77.5	69.9	81.4	85.4
en-lt	48.4	44.2	60.5	51.6	44.6	NA	44.4	56.9
en-ro	75.4	84.5	74.3	75.5	76.3	67.6	80.8	78.3
en-ta	NA	NA	46.3	45.9	35.8	29.6	37.3	41.0
cs-en	83.5	82.6	79.4	77.4	79.2	NA	81.7	79.2
fr-en	83.0	85.1	79.8	79.4	81.7	NA	85.2	87.9
lt-en	68.5	66.0	62.8	56.6	59.4	NA	60.4	67.0
ro-en	82.3	84.2	78.3	79.0	80.0	NA	84.1	80.4
mean	74.7	77.3	71.0	69.6	69.4	60.7	72.1	73.7
