lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.0	95.6	89.4	92.6	94.6	99.0	98.6	86.4
en-de	97.0	99.8	92.8	99.6	98.6	99.4	99.4	96.6
en-fi	95.2	98.0	90.6	95.0	96.4	NA	98.0	83.8
en-fr	96.4	98.6	90.2	94.4	97.8	99.4	99.2	93.6
en-lt	94.4	96.0	87.0	92.2	94.4	NA	94.8	83.6
en-ro	97.0	99.6	86.0	94.0	96.2	99.4	98.8	89.8
en-ta	NA	NA	90.8	97.8	94.8	99.4	98.4	93.6
cs-en	98.0	99.6	94.0	97.8	99.8	100.0	100.0	93.2
fr-en	98.4	99.6	95.6	98.0	99.4	100.0	99.6	97.8
lt-en	95.8	98.6	91.0	95.4	98.0	NA	97.6	87.4
ro-en	98.4	99.8	92.4	98.0	98.8	99.6	99.2	93.6
mean	96.6	98.5	90.9	95.9	97.2	99.5	98.5	90.9
