lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.8	82.0	46.8	86.6	87.8	84.6	96.4	NA
en-de	73.8	68.8	53.6	95.2	91.6	76.6	97.6	NA
en-fi	65.6	73.6	38.0	88.4	86.8	NA	94.8	NA
en-fr	70.8	59.2	41.6	89.0	83.0	60.6	95.0	NA
en-lt	71.0	80.8	54.6	89.6	89.6	NA	93.4	NA
en-ro	78.4	86.2	54.8	91.2	94.8	88.6	98.0	NA
en-ta	NA	NA	73.0	94.0	71.4	96.6	98.2	NA
cs-en	89.8	82.6	68.4	97.8	97.8	NA	98.4	66.4
fr-en	84.0	82.4	77.2	95.6	95.0	NA	90.8	78.2
lt-en	80.2	86.6	62.4	90.6	92.8	NA	92.4	59.2
ro-en	84.8	85.4	68.6	96.0	92.2	NA	92.6	67.2
mean	77.7	78.8	58.1	92.2	89.3	81.4	95.2	67.8
