lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.3	25.8	6.8	7.2	11.7	16.5	14.4	NA
en-de	17.8	28.3	11.7	7.8	14.0	17.1	16.3	NA
en-fi	16.3	18.9	5.7	6.8	11.3	NA	12.7	NA
en-fr	20.4	30.1	15.3	8.6	15.8	17.8	18.0	NA
en-lt	19.0	31.0	7.0	10.2	22.0	NA	23.7	NA
en-ro	19.0	29.0	7.2	7.9	13.9	17.2	16.3	NA
en-ta	NA	NA	9.0	9.7	22.8	21.6	17.7	NA
cs-en	17.9	30.2	7.3	7.5	13.1	23.2	15.8	NA
fr-en	17.5	29.6	14.3	7.7	14.3	16.9	16.4	NA
lt-en	17.4	31.0	7.1	6.6	14.3	NA	15.7	NA
ro-en	17.9	29.5	7.5	7.8	13.9	16.9	15.9	NA
mean	18.2	28.3	9.0	8.0	15.2	18.4	16.6	NA
