lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	93.8	83.2	86.6	92.4	94.2	98.4	98.4	84.6
en-de	95.2	97.4	90.6	99.4	97.2	95.4	98.6	93.4
en-fi	94.0	97.2	87.8	94.4	95.2	NA	97.0	82.2
en-fr	93.6	97.0	87.0	94.2	96.4	96.4	98.6	91.6
en-lt	93.8	94.4	85.8	92.2	93.8	NA	94.8	82.4
en-ro	96.4	99.4	84.6	94.0	96.4	99.4	98.8	89.0
en-ta	NA	NA	89.8	97.8	95.0	99.4	98.4	93.6
cs-en	98.0	88.0	82.0	97.8	99.8	100.0	100.0	85.4
fr-en	98.6	93.6	95.6	98.0	99.4	100.0	99.6	93.6
lt-en	95.8	79.4	91.0	95.4	98.0	NA	97.6	77.6
ro-en	98.4	94.8	81.4	98.0	98.8	99.6	99.0	88.0
mean	95.8	92.4	87.5	95.8	96.7	98.6	98.3	87.4
