lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.5	21.2	13.7	12.0	13.2	4.3	15.8	NA
en-de	22.9	26.4	19.4	18.5	23.5	12.1	23.1	NA
en-fi	11.2	7.9	9.4	6.5	10.8	NA	12.9	NA
en-fr	30.8	35.2	34.0	22.9	30.5	12.7	30.2	NA
en-lt	3.6	3.9	4.0	0.7	0.9	NA	1.1	NA
en-ro	21.0	24.1	20.5	14.0	19.4	5.3	21.0	NA
en-ta	NA	NA	0.6	0.5	0.5	0.0	0.2	NA
cs-en	32.9	37.5	23.8	25.5	26.1	9.3	27.2	NA
fr-en	37.6	41.3	34.4	28.4	35.6	16.4	34.9	NA
lt-en	11.5	14.6	6.4	5.9	9.1	NA	9.2	NA
ro-en	39.9	40.6	21.6	32.1	30.9	9.8	35.1	NA
mean	22.8	25.3	17.1	15.2	18.2	8.7	19.2	NA
