lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.6	83.3	74.8	73.0	74.8	65.8	76.9	NA
en-de	77.6	81.2	75.8	75.9	77.4	70.1	80.0	NA
en-fi	75.5	79.5	73.8	73.8	76.8	NA	80.5	NA
en-fr	80.4	84.2	76.1	75.7	77.3	69.8	81.7	NA
en-lt	48.8	44.9	61.2	51.1	45.4	NA	43.8	NA
en-ro	76.7	84.3	74.8	75.9	76.5	67.2	80.4	NA
en-ta	NA	NA	46.1	47.1	37.3	30.8	37.9	NA
cs-en	83.2	82.9	79.5	77.5	79.3	66.3	81.6	NA
fr-en	83.3	85.0	80.1	79.3	81.7	72.9	85.2	NA
lt-en	67.4	67.1	63.7	56.9	59.4	NA	60.4	NA
ro-en	81.9	84.2	78.5	79.6	80.5	65.7	84.2	NA
mean	75.3	77.7	71.3	69.6	69.7	63.6	72.1	NA
