lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.2	98.4	88.6	91.6	95.2	99.2	98.8	NA
en-de	95.6	98.4	93.0	99.4	98.0	98.6	99.2	NA
en-fi	93.0	97.4	90.8	96.4	96.6	NA	98.2	NA
en-fr	94.0	98.0	91.6	95.2	96.8	98.8	99.2	NA
en-lt	92.8	97.4	88.2	92.2	92.4	NA	96.6	NA
en-ro	96.4	98.8	89.2	93.4	97.0	99.6	99.4	NA
en-ta	NA	NA	95.4	97.2	95.8	99.4	99.2	NA
cs-en	98.4	98.6	94.2	97.8	99.4	NA	99.8	NA
fr-en	98.0	100.0	95.6	99.0	99.6	NA	99.6	NA
lt-en	96.2	98.0	88.0	95.4	98.0	NA	97.2	NA
ro-en	98.2	99.8	91.0	97.4	99.0	NA	99.6	NA
mean	95.7	98.5	91.4	95.9	97.1	99.1	98.8	NA
