lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	67.3	68.1	51.9	66.3	66.3	56.4	72.3	NA
en-de	66.8	67.6	55.8	69.8	71.2	62.2	76.2	NA
en-fi	65.6	65.8	51.5	68.1	70.5	NA	76.6	NA
en-fr	68.7	67.2	54.7	68.8	69.4	57.1	77.3	NA
en-lt	43.1	39.8	44.8	47.3	43.1	NA	42.3	NA
en-ro	65.7	69.0	53.2	69.0	71.2	61.7	75.7	NA
en-ta	NA	NA	38.2	45.2	37.4	32.5	38.7	NA
cs-en	74.7	71.0	58.4	70.4	72.2	61.6	76.7	NA
fr-en	72.2	72.7	63.3	70.7	73.8	65.3	77.7	NA
lt-en	58.5	58.4	47.5	50.7	53.9	NA	56.4	NA
ro-en	73.8	71.7	59.3	73.0	73.8	60.1	77.8	NA
mean	65.6	65.1	52.6	63.6	63.9	57.1	68.0	NA
