lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.2	98.6	90.8	92.6	94.6	98.6	97.6	NA
en-de	97.4	99.6	92.6	99.2	99.0	99.8	99.0	NA
en-fi	96.4	98.4	89.6	95.4	97.4	NA	98.0	NA
en-fr	97.4	99.0	91.8	96.2	96.8	99.6	97.8	NA
en-lt	94.8	97.8	89.6	92.6	95.2	NA	94.0	NA
en-ro	96.2	99.4	88.4	93.6	96.4	99.4	97.2	NA
en-ta	NA	NA	96.2	97.2	95.6	99.2	98.8	NA
cs-en	98.0	99.4	94.6	98.6	99.4	99.8	99.8	NA
fr-en	98.8	99.8	95.8	98.6	99.6	100.0	99.6	NA
lt-en	96.8	98.8	89.2	95.8	98.2	NA	98.2	NA
ro-en	97.6	100.0	91.4	97.4	99.0	99.8	99.6	NA
mean	96.9	99.1	91.8	96.1	97.4	99.5	98.1	NA
