lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.6	24.8	7.1	7.2	12.4	16.7	14.3	12.8
en-de	15.4	26.5	11.2	7.8	13.9	16.8	16.6	11.0
en-fi	12.8	17.6	5.1	6.5	10.7	NA	11.6	12.9
en-fr	17.8	28.5	14.1	9.2	16.2	17.0	17.6	12.5
en-lt	16.1	31.3	6.5	10.5	22.0	NA	22.1	14.6
en-ro	17.7	27.0	7.0	7.6	13.6	16.9	16.0	17.5
en-ta	NA	NA	8.8	10.9	21.9	22.0	18.5	16.8
cs-en	17.8	29.5	8.9	7.7	12.5	NA	15.8	NA
fr-en	16.7	29.9	14.6	7.7	14.4	NA	16.1	NA
lt-en	16.6	29.1	10.5	7.6	13.9	NA	13.8	NA
ro-en	18.0	29.3	9.1	8.1	13.7	NA	15.1	NA
mean	16.3	27.4	9.4	8.3	15.0	17.9	16.1	14.0
