lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.1	51.6	9.2	7.1	13.4	16.3	15.2	14.8
en-de	17.0	28.6	12.9	7.9	14.6	18.9	17.1	13.6
en-fi	13.6	18.7	7.9	7.5	12.4	NA	13.8	16.6
en-fr	20.6	29.6	19.3	8.8	16.0	18.4	17.9	13.9
en-lt	17.3	30.9	8.3	8.3	20.7	NA	23.2	15.2
en-ro	19.2	27.7	8.3	7.9	13.9	17.7	16.3	18.6
en-ta	NA	NA	10.7	10.8	22.9	21.6	18.8	17.2
cs-en	18.7	35.5	14.8	7.4	12.7	22.8	15.8	19.4
fr-en	17.1	33.8	14.6	7.7	14.3	17.4	16.6	16.1
lt-en	16.9	38.6	8.2	6.2	13.8	NA	15.1	19.3
ro-en	18.2	32.0	15.1	7.9	13.8	16.7	15.8	20.8
mean	17.6	32.7	11.8	8.0	15.3	18.7	16.9	16.9
