lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	22.5	30.1	11.3	9.1	13.9	17.8	15.1	NA
en-de	26.6	40.4	24.2	9.4	18.9	21.0	19.2	NA
en-fi	17.3	26.4	13.4	8.2	12.8	NA	13.5	NA
en-fr	31.5	42.8	29.4	10.6	21.1	26.1	22.7	NA
en-lt	18.0	31.2	10.4	11.3	22.8	NA	25.4	NA
en-ro	19.2	29.8	9.7	8.6	14.6	18.2	16.2	NA
en-ta	NA	NA	11.6	10.0	24.0	22.0	17.8	NA
cs-en	18.2	31.2	8.6	7.6	13.1	22.3	15.9	NA
fr-en	16.5	30.0	15.9	7.8	14.6	17.3	16.6	NA
lt-en	16.5	31.6	7.7	6.7	14.7	NA	15.3	NA
ro-en	17.4	29.8	8.3	7.9	14.3	17.2	15.8	NA
mean	20.4	32.3	13.7	8.8	16.8	20.2	17.6	NA
