lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.5	84.9	80.8	73.7	74.9	66.4	77.2	NA
en-de	79.1	82.5	77.6	75.6	77.2	69.8	80.7	NA
en-fi	79.3	82.5	78.3	76.0	78.5	NA	81.5	NA
en-fr	81.2	85.4	77.9	75.9	77.3	70.2	81.3	NA
en-lt	49.4	46.5	64.6	52.2	45.3	NA	44.8	NA
en-ro	80.1	85.9	77.8	75.9	76.6	68.2	80.7	NA
en-ta	NA	NA	51.8	48.7	36.5	31.3	39.4	NA
cs-en	83.9	84.3	82.2	77.9	79.2	66.7	81.8	NA
fr-en	83.9	86.2	81.5	79.8	82.0	72.8	85.3	NA
lt-en	70.2	70.7	66.2	58.2	58.3	NA	60.1	NA
ro-en	82.6	85.4	80.9	79.3	80.1	65.3	84.3	NA
mean	77.0	79.4	74.5	70.3	69.6	63.8	72.5	NA
