lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	8.5	10.3	2.0	5.9	6.4	1.8	13.5	NA
en-de	9.1	11.2	3.4	13.0	13.4	5.9	18.7	NA
en-fi	5.0	3.5	1.8	3.8	6.5	NA	11.7	NA
en-fr	12.4	14.6	7.5	10.1	13.6	3.9	23.4	NA
en-lt	2.1	2.6	0.8	0.8	0.7	NA	1.1	NA
en-ro	9.4	11.2	2.3	11.1	13.0	2.9	19.1	NA
en-ta	NA	NA	0.2	0.7	0.9	0.1	0.1	NA
cs-en	15.9	20.0	3.8	19.2	20.7	6.1	24.1	NA
fr-en	14.7	21.2	11.8	17.7	21.8	9.2	19.4	NA
lt-en	6.2	9.3	1.7	3.6	6.2	NA	7.4	NA
ro-en	15.7	22.8	4.4	24.0	20.6	6.8	23.2	NA
mean	9.9	12.7	3.6	10.0	11.3	4.6	14.7	NA
