lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.2	24.4	6.1	7.2	11.4	16.4	14.3	NA
en-de	15.1	26.7	11.1	7.8	13.7	16.8	16.3	NA
en-fi	12.7	17.8	5.3	6.6	10.7	NA	12.6	NA
en-fr	18.0	28.9	14.6	8.6	15.6	17.5	18.0	NA
en-lt	17.2	30.0	6.6	10.2	21.3	NA	23.7	NA
en-ro	17.7	27.7	7.0	7.9	13.8	17.0	16.2	NA
en-ta	NA	NA	8.4	9.7	22.7	21.6	17.7	NA
cs-en	17.6	30.0	7.2	7.5	12.7	22.5	15.8	NA
fr-en	16.5	29.5	14.3	7.7	14.3	16.7	16.4	NA
lt-en	17.3	30.9	7.1	6.6	14.3	NA	15.7	NA
ro-en	17.7	29.5	7.2	7.8	13.9	16.8	15.7	NA
mean	16.5	27.5	8.6	8.0	14.9	18.2	16.6	NA
