lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.5	20.9	21.5	11.8	13.0	4.2	15.2	NA
en-de	21.7	26.5	18.5	18.8	22.5	11.9	23.9	NA
en-fi	12.8	8.4	18.5	7.4	11.7	NA	13.3	NA
en-fr	30.6	36.8	34.4	22.4	27.8	12.2	30.6	NA
en-lt	5.0	4.9	7.2	1.2	1.3	NA	1.7	NA
en-ro	23.7	26.1	23.3	15.4	16.7	5.5	21.1	NA
en-ta	NA	NA	1.1	1.0	0.5	0.0	0.3	NA
cs-en	36.4	39.6	32.8	27.4	25.5	10.6	28.0	NA
fr-en	40.6	46.1	39.6	29.7	35.7	16.7	35.4	NA
lt-en	16.6	19.0	13.1	6.7	8.4	NA	9.2	NA
ro-en	39.4	44.9	29.6	31.9	30.8	9.6	35.6	NA
mean	24.3	27.3	21.8	15.8	17.6	8.8	19.5	NA
