lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	74.8	79.7	69.1	67.1	69.8	64.6	73.7	70.0
en-de	73.5	77.0	68.3	69.8	72.8	68.2	76.3	77.3
en-fi	74.3	76.0	67.2	69.5	73.5	NA	76.5	69.9
en-fr	75.5	80.6	68.7	70.9	72.9	68.7	78.4	77.7
en-lt	46.1	43.7	53.8	46.7	43.2	NA	42.2	51.5
en-ro	74.5	81.3	66.3	69.6	72.6	66.1	76.9	72.7
en-ta	NA	NA	45.5	46.2	37.5	33.1	39.4	41.8
cs-en	76.6	76.3	64.4	69.2	71.6	64.1	75.7	NA
fr-en	76.1	79.5	68.9	72.5	75.5	70.6	79.9	NA
lt-en	56.0	58.0	46.7	47.0	49.4	NA	51.7	NA
ro-en	74.8	78.0	64.2	71.1	74.2	63.9	78.8	NA
mean	70.2	73.0	62.1	63.6	64.8	62.4	68.1	65.8
