lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.2	81.8	49.8	88.8	86.6	87.2	95.2	55.8
en-de	77.4	73.8	53.6	96.2	91.8	77.4	97.0	60.0
en-fi	70.0	76.4	43.2	91.0	88.6	NA	95.8	42.2
en-fr	72.4	63.6	45.8	87.8	83.4	63.0	94.6	50.8
en-lt	71.2	80.4	55.0	90.0	87.8	NA	93.4	54.4
en-ro	79.8	85.4	52.2	90.0	95.0	92.0	96.2	63.2
en-ta	NA	NA	66.4	93.2	71.4	96.2	95.4	79.4
cs-en	89.2	82.6	58.6	94.6	94.6	NA	95.8	NA
fr-en	85.4	82.2	71.2	90.0	90.2	NA	88.8	NA
lt-en	84.2	81.4	56.6	87.4	91.6	NA	93.6	NA
ro-en	88.0	85.0	61.4	95.0	95.4	NA	93.6	NA
mean	79.5	79.3	55.8	91.3	88.8	83.2	94.5	58.0
