lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	89.8	96.0	77.8	92.0	89.6	91.4	94.6	77.6
en-de	79.4	86.0	72.8	90.6	91.4	80.4	92.4	76.6
en-fi	81.0	94.4	77.6	92.6	92.4	NA	92.8	73.4
en-fr	77.0	85.2	75.6	88.2	84.8	71.8	86.4	74.4
en-lt	85.8	93.8	81.0	90.0	89.4	NA	92.4	76.8
en-ro	92.8	98.4	79.2	90.6	96.0	95.4	97.2	82.6
en-ta	NA	NA	91.0	94.8	90.0	97.4	93.8	90.4
cs-en	78.8	75.8	66.4	92.4	91.4	NA	91.4	NA
fr-en	78.0	71.4	73.4	85.6	85.0	NA	88.6	NA
lt-en	72.6	66.6	56.2	76.0	78.8	NA	73.4	NA
ro-en	82.2	80.2	68.4	87.4	92.4	NA	91.8	NA
mean	81.7	84.8	74.5	89.1	89.2	87.3	90.4	78.8
