lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	88.2	96.2	75.2	90.2	94.0	97.8	97.0	NA
en-de	91.6	98.4	85.2	98.8	98.2	98.6	99.2	NA
en-fi	76.2	94.8	70.0	92.2	92.2	NA	95.8	NA
en-fr	91.6	98.4	82.8	95.4	96.6	99.2	99.0	NA
en-lt	74.8	92.2	73.2	91.6	92.0	NA	94.8	NA
en-ro	89.4	97.8	78.6	93.0	96.8	98.6	98.6	NA
en-ta	NA	NA	82.4	95.0	71.0	98.4	98.0	NA
cs-en	96.2	97.4	87.6	98.2	99.4	100.0	99.8	90.2
fr-en	96.4	98.0	91.2	99.4	99.4	100.0	99.6	96.2
lt-en	87.8	95.4	78.6	95.4	98.4	NA	97.6	82.6
ro-en	96.2	99.0	81.8	98.2	98.4	99.6	99.6	87.0
mean	88.8	96.8	80.6	95.2	94.2	99.0	98.1	89.0
