lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.7	24.8	6.1	6.9	12.4	15.8	14.5	13.1
en-de	15.0	26.3	11.2	7.8	13.9	16.7	16.4	10.9
en-fi	12.5	17.7	5.2	6.9	10.3	NA	12.8	13.2
en-fr	17.9	28.5	14.5	8.7	15.3	17.4	17.8	12.1
en-lt	16.2	29.5	6.3	8.2	20.0	NA	23.1	14.2
en-ro	18.3	27.2	7.2	7.8	13.8	17.3	16.1	17.8
en-ta	NA	NA	8.3	10.8	22.6	21.6	18.7	16.7
cs-en	17.8	29.8	7.9	7.4	12.6	22.1	15.8	15.8
fr-en	16.8	29.9	14.3	7.7	14.3	17.2	16.6	11.9
lt-en	16.8	31.2	8.2	6.2	13.8	NA	15.1	15.0
ro-en	18.2	29.4	8.7	7.9	13.8	16.7	15.7	17.4
mean	16.4	27.4	8.9	7.8	14.8	18.1	16.6	14.4
