lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.3	21.9	17.2	11.4	12.9	4.7	15.1	NA
en-de	23.5	25.6	20.9	18.3	22.0	12.6	22.3	NA
en-fi	11.9	9.8	18.5	7.7	11.8	NA	13.3	NA
en-fr	30.4	36.4	35.0	21.8	30.3	12.0	30.4	NA
en-lt	5.5	5.5	7.4	1.2	1.0	NA	1.4	NA
en-ro	24.0	24.8	20.7	16.8	17.6	5.2	21.2	NA
en-ta	NA	NA	1.0	1.0	0.4	0.0	0.2	NA
cs-en	37.9	40.2	31.9	26.9	25.7	NA	27.9	NA
fr-en	42.3	47.0	39.4	29.6	35.6	NA	35.4	NA
lt-en	17.2	19.5	12.9	5.7	8.3	NA	9.8	NA
ro-en	43.0	44.3	34.1	32.4	31.2	NA	34.8	NA
mean	25.4	27.5	21.7	15.7	17.9	6.9	19.3	NA
