lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.3	68.8	69.2	67.8	69.7	66.0	73.0	69.5
en-de	74.0	77.8	67.9	70.2	72.0	66.9	75.9	77.3
en-fi	75.1	78.4	67.0	70.2	74.0	NA	76.9	68.8
en-fr	75.7	81.2	68.5	70.5	73.6	68.1	77.8	77.2
en-lt	47.7	44.6	55.2	48.3	43.4	NA	43.0	51.7
en-ro	75.1	82.2	66.8	69.9	72.7	66.7	76.8	72.9
en-ta	NA	NA	46.3	46.8	38.4	33.0	39.4	42.2
cs-en	78.8	76.6	64.9	71.3	73.9	64.2	77.4	67.1
fr-en	78.2	80.0	72.4	73.2	76.7	70.6	80.9	77.3
lt-en	67.0	61.1	56.5	52.3	54.3	NA	55.3	54.5
ro-en	78.0	80.2	64.0	72.8	75.3	63.9	79.8	69.4
mean	72.5	73.1	63.5	64.8	65.8	62.4	68.7	66.2
