lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.5	22.8	23.7	11.2	13.5	4.3	13.9	NA
en-de	26.0	27.1	21.3	17.4	23.0	12.0	22.8	NA
en-fi	12.9	10.9	20.9	6.9	13.1	NA	12.9	NA
en-fr	31.5	35.7	35.0	23.4	30.5	12.8	30.7	NA
en-lt	5.4	5.3	6.7	1.0	1.2	NA	1.2	NA
en-ro	25.0	25.5	23.5	16.9	18.3	5.4	20.3	NA
en-ta	NA	NA	1.1	1.0	0.4	0.0	0.2	NA
cs-en	38.2	40.4	32.4	26.3	25.9	9.7	27.5	NA
fr-en	41.4	46.8	40.0	29.2	35.2	15.6	35.1	NA
lt-en	17.6	21.1	11.9	5.0	8.1	NA	8.8	NA
ro-en	43.0	45.6	32.5	32.4	31.6	9.7	35.2	NA
mean	25.9	28.1	22.6	15.5	18.3	8.7	19.0	NA
