lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.6	98.6	89.2	92.6	93.8	98.6	97.4	NA
en-de	95.8	98.6	92.0	99.2	98.6	99.2	98.4	NA
en-fi	95.6	96.6	87.4	95.4	96.8	NA	98.0	NA
en-fr	94.6	98.2	90.8	96.2	96.8	99.0	97.8	NA
en-lt	93.8	97.0	89.0	93.0	95.4	NA	94.0	NA
en-ro	94.4	99.2	88.0	93.6	96.8	99.4	97.6	NA
en-ta	NA	NA	96.0	97.2	96.4	99.2	98.8	NA
cs-en	97.6	99.2	94.4	98.6	99.4	99.8	99.8	NA
fr-en	98.8	99.8	96.0	98.6	99.6	100.0	99.6	NA
lt-en	96.8	98.2	89.2	95.8	98.2	NA	98.2	NA
ro-en	97.6	100.0	91.4	97.4	99.0	99.8	99.6	NA
mean	96.0	98.5	91.2	96.1	97.3	99.4	98.1	NA
