lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	68.2	67.2	50.2	65.2	65.9	55.7	72.7	NA
en-de	65.6	64.7	54.6	69.1	70.8	61.4	75.3	NA
en-fi	67.6	65.0	49.7	67.3	69.7	NA	76.8	NA
en-fr	67.6	65.5	52.4	69.2	69.3	55.5	77.1	NA
en-lt	43.2	39.6	44.5	45.9	42.1	NA	41.8	NA
en-ro	65.9	69.9	50.2	69.0	72.1	61.8	76.9	NA
en-ta	NA	NA	38.8	44.4	36.6	32.1	38.5	NA
cs-en	72.8	70.3	59.0	71.4	72.6	58.9	77.0	NA
fr-en	63.9	67.6	63.9	72.3	73.8	65.4	77.3	NA
lt-en	59.4	58.2	49.0	53.6	56.1	NA	57.3	NA
ro-en	64.2	70.0	58.8	73.7	74.0	59.7	77.6	NA
mean	63.8	63.8	51.9	63.7	63.9	56.3	68.0	NA
