lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	82.2	83.4	52.8	85.4	88.2	88.0	95.8	NA
en-de	74.8	73.4	56.2	96.8	90.8	83.4	97.2	NA
en-fi	73.4	78.8	45.6	87.6	85.4	NA	95.4	NA
en-fr	70.6	62.0	48.0	87.8	83.2	67.8	94.8	NA
en-lt	73.2	83.4	54.6	90.4	86.6	NA	90.8	NA
en-ro	76.6	83.8	51.4	91.2	93.8	92.2	98.4	NA
en-ta	NA	NA	70.0	94.6	69.2	97.2	97.2	NA
cs-en	86.8	83.0	68.8	95.8	97.2	93.8	98.4	NA
fr-en	83.4	86.2	81.0	95.6	94.0	93.6	92.0	NA
lt-en	83.2	88.8	66.0	92.0	93.6	NA	95.8	NA
ro-en	83.8	86.8	72.0	97.0	95.2	94.0	93.4	NA
mean	78.8	81.0	60.6	92.2	88.8	88.8	95.4	NA
