lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	6.8	9.2	1.6	4.9	5.8	1.5	12.1	NA
en-de	8.6	10.5	3.2	9.6	12.2	4.8	18.1	NA
en-fi	5.0	3.2	1.3	2.6	5.1	NA	10.9	NA
en-fr	12.2	14.2	6.3	10.3	12.5	3.4	23.4	NA
en-lt	2.1	2.4	0.7	0.6	0.7	NA	1.0	NA
en-ro	9.6	11.0	1.8	9.1	14.2	2.6	18.7	NA
en-ta	NA	NA	0.2	0.4	0.9	0.0	0.2	NA
cs-en	15.0	17.6	3.5	22.7	19.5	4.3	25.5	NA
fr-en	11.2	17.0	10.0	19.5	20.4	7.1	22.5	NA
lt-en	5.5	7.2	1.5	4.8	6.4	NA	7.1	NA
ro-en	12.8	18.9	3.6	24.6	20.1	5.1	25.3	NA
mean	8.9	11.1	3.1	9.9	10.7	3.6	15.0	NA
