lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	86.8	95.4	78.0	92.4	91.6	97.6	96.6	77.6
en-de	93.4	98.4	86.0	99.0	98.2	98.8	99.2	91.0
en-fi	75.6	94.4	69.6	93.0	93.0	NA	96.4	65.0
en-fr	92.4	98.0	84.0	93.4	95.6	99.6	99.0	89.8
en-lt	76.4	93.6	71.4	92.6	90.2	NA	92.8	69.0
en-ro	87.8	98.0	76.2	92.2	95.4	98.8	98.6	81.6
en-ta	NA	NA	82.2	97.2	74.2	98.8	97.0	89.0
cs-en	97.6	99.2	90.0	98.6	99.6	NA	100.0	90.2
fr-en	97.2	99.2	94.6	99.2	99.6	NA	99.6	96.2
lt-en	90.2	95.6	83.6	95.6	98.2	NA	97.8	82.6
ro-en	97.6	99.6	85.2	98.4	98.6	NA	99.6	87.0
mean	89.5	97.1	81.9	95.6	94.0	98.7	97.9	83.5
