lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.8	82.6	71.7	68.9	72.0	65.1	75.5	NA
en-de	75.3	79.3	70.5	70.5	73.4	69.6	77.1	NA
en-fi	77.0	80.0	69.3	71.2	75.3	NA	79.3	NA
en-fr	77.0	82.6	71.2	71.7	74.5	70.8	79.0	NA
en-lt	50.3	48.0	58.2	48.0	45.8	NA	44.9	NA
en-ro	76.1	83.4	68.6	71.4	73.7	68.5	78.3	NA
en-ta	NA	NA	NA	NA	NA	NA	NA	NA
cs-en	79.1	80.9	69.9	71.7	74.5	NA	78.2	NA
fr-en	78.3	82.6	72.9	73.2	77.0	NA	80.8	NA
lt-en	68.5	69.2	58.9	57.1	60.8	NA	63.8	NA
ro-en	78.2	82.3	69.2	73.9	76.7	NA	81.1	NA
mean	73.8	77.1	68.0	67.8	70.4	68.5	73.8	NA
