lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	19.0	22.8	25.0	12.9	14.3	4.8	15.5	NA
en-de	25.5	27.4	21.9	17.2	23.9	13.3	23.4	NA
en-fi	13.0	9.1	22.4	6.6	14.7	NA	15.0	NA
en-fr	32.8	37.0	36.2	24.4	30.9	14.1	31.7	NA
en-lt	5.5	6.4	7.8	1.1	1.6	NA	1.8	NA
en-ro	27.0	29.2	24.3	18.5	19.8	7.0	22.6	NA
en-ta	NA	NA	1.7	0.7	0.9	0.1	0.2	NA
cs-en	37.2	40.5	34.6	28.2	27.5	NA	30.4	NA
fr-en	40.8	46.4	40.1	30.5	36.3	NA	37.1	NA
lt-en	16.3	19.2	15.3	6.7	11.4	NA	13.0	NA
ro-en	42.3	45.0	35.2	34.3	32.7	NA	37.5	NA
mean	25.9	28.3	24.0	16.5	19.5	7.9	20.7	NA
