lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.1	24.6	7.2	7.3	12.2	15.8	14.6	13.5
en-de	16.0	26.6	12.2	8.2	14.0	17.1	16.6	11.2
en-fi	13.8	18.1	7.4	6.4	10.4	NA	12.3	15.5
en-fr	18.3	28.6	14.8	8.7	15.0	17.2	18.2	12.3
en-lt	17.3	30.6	7.1	8.0	22.7	NA	22.0	15.4
en-ro	18.2	26.9	7.7	8.2	13.7	17.8	16.2	18.1
en-ta	NA	NA	12.6	10.0	20.0	22.7	16.6	16.6
cs-en	18.3	31.0	9.1	7.6	13.3	NA	15.9	NA
fr-en	16.6	30.0	15.5	7.9	14.4	NA	16.7	NA
lt-en	18.6	34.7	10.0	6.4	15.0	NA	15.9	NA
ro-en	18.0	29.4	8.2	7.9	14.0	NA	15.9	NA
mean	17.0	28.1	10.2	7.9	15.0	18.1	16.4	14.7
