lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	34.5	53.3	53.4	14.4	27.8	53.8	22.0	54.8
en-de	39.0	63.6	64.6	20.2	34.7	63.2	29.9	60.3
en-fi	37.7	47.6	57.0	19.1	28.5	NA	22.2	63.0
en-fr	45.6	65.8	72.0	32.4	48.6	78.1	37.5	65.4
en-lt	30.1	51.3	37.3	17.5	30.3	NA	29.9	42.8
en-ro	34.7	48.3	44.8	14.7	24.8	41.6	24.0	55.0
en-ta	NA	NA	23.9	14.1	33.8	24.2	21.3	25.3
cs-en	33.2	52.7	40.4	10.7	15.8	NA	18.7	NA
fr-en	NA	52.6	41.4	15.7	23.4	NA	27.2	NA
lt-en	28.0	54.1	35.4	12.2	20.9	NA	22.0	NA
ro-en	33.9	50.0	40.5	11.4	21.2	NA	26.0	NA
mean	35.2	53.9	46.4	16.6	28.2	52.2	25.5	52.4
