lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.9	85.0	80.2	73.0	74.4	66.2	77.6	NA
en-de	79.0	82.3	78.1	75.6	76.6	70.4	79.7	NA
en-fi	79.7	82.3	78.3	75.9	78.8	NA	80.8	NA
en-fr	80.8	85.4	77.5	75.4	77.4	70.1	81.0	NA
en-lt	51.3	46.9	64.6	51.7	45.6	NA	43.6	NA
en-ro	79.8	85.8	77.0	75.9	76.6	68.4	80.1	NA
en-ta	NA	NA	51.6	48.5	36.7	30.9	38.4	NA
cs-en	84.1	84.2	81.9	77.6	79.5	66.4	81.6	NA
fr-en	83.6	86.3	81.3	79.6	81.7	72.9	85.2	NA
lt-en	71.2	70.9	64.6	56.3	57.8	NA	59.7	NA
ro-en	83.3	85.7	80.3	79.4	80.0	65.6	83.9	NA
mean	77.4	79.5	74.1	69.9	69.6	63.9	72.0	NA
