lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	93.8	98.6	90.6	93.4	96.0	98.4	97.6	NA
en-de	94.8	99.0	93.4	99.0	98.4	99.4	99.6	NA
en-fi	93.8	97.6	89.2	97.6	96.8	NA	99.0	NA
en-fr	94.8	98.0	91.0	93.8	96.8	99.4	99.0	NA
en-lt	93.4	97.4	89.2	92.8	94.0	NA	95.6	NA
en-ro	96.6	99.4	86.4	93.0	96.8	99.2	98.4	NA
en-ta	NA	NA	93.0	97.4	95.6	99.4	99.6	NA
cs-en	98.0	99.0	95.0	98.2	99.2	100.0	99.8	NA
fr-en	98.4	99.8	96.4	98.8	99.4	99.8	99.8	NA
lt-en	96.8	97.8	87.2	95.6	97.6	NA	99.0	NA
ro-en	97.2	99.8	91.2	98.0	98.6	99.4	99.4	NA
mean	95.8	98.6	91.1	96.1	97.2	99.4	98.8	NA
