lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.6	21.9	20.7	11.2	12.3	4.3	13.6	NA
en-de	21.9	25.8	20.5	17.4	22.8	12.0	22.4	NA
en-fi	13.3	10.0	15.1	6.8	12.2	NA	12.9	NA
en-fr	28.8	35.7	35.1	23.4	30.3	12.7	30.1	NA
en-lt	4.9	5.2	6.2	1.0	1.2	NA	1.2	NA
en-ro	22.7	25.0	23.3	16.9	18.2	5.4	20.1	NA
en-ta	NA	NA	1.1	1.0	0.5	0.0	0.2	NA
cs-en	36.5	40.3	32.8	26.3	25.9	9.6	27.5	NA
fr-en	41.8	46.8	38.8	29.2	35.2	15.6	35.1	NA
lt-en	17.6	20.7	11.9	5.0	8.1	NA	8.8	NA
ro-en	42.4	45.6	32.6	32.4	31.6	9.7	35.2	NA
mean	24.8	27.7	21.6	15.5	18.0	8.7	18.8	NA
