lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.0	25.2	8.0	7.0	11.9	17.4	14.1	NA
en-de	15.8	26.6	11.6	8.0	13.7	17.0	16.4	NA
en-fi	13.2	19.6	8.0	7.1	11.2	NA	12.4	NA
en-fr	18.9	28.7	14.5	8.8	15.6	17.4	18.4	NA
en-lt	20.1	32.1	8.6	12.4	23.5	NA	26.4	NA
en-ro	18.6	27.8	7.2	9.0	13.9	17.5	16.5	NA
en-ta	NA	NA	12.4	12.6	20.1	22.6	17.9	NA
cs-en	18.7	30.9	8.6	7.6	12.9	23.9	16.0	NA
fr-en	17.6	31.2	15.5	7.9	14.5	17.3	16.7	NA
lt-en	19.1	36.1	11.6	6.4	14.6	NA	15.6	NA
ro-en	18.1	30.4	9.1	8.2	13.9	17.6	16.0	NA
mean	17.6	28.9	10.5	8.6	15.1	18.8	16.9	NA
