lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.2	83.0	75.6	72.7	73.9	65.9	76.9	NA
en-de	77.5	81.3	76.3	75.8	77.7	70.2	80.1	NA
en-fi	75.9	79.2	73.0	74.3	77.0	NA	80.7	NA
en-fr	80.2	84.6	75.7	75.7	77.6	69.8	81.4	NA
en-lt	48.4	44.6	60.1	50.4	44.9	NA	43.5	NA
en-ro	77.1	84.9	74.7	75.7	77.2	68.1	81.4	NA
en-ta	NA	NA	45.5	46.0	36.8	30.3	38.1	NA
cs-en	83.1	82.9	80.0	77.5	79.2	64.9	81.9	NA
fr-en	83.1	85.0	79.4	79.3	81.6	72.9	85.0	NA
lt-en	67.8	67.4	64.0	57.5	59.7	NA	60.1	NA
ro-en	82.0	84.5	77.8	79.7	80.6	65.4	84.4	NA
mean	75.3	77.7	71.1	69.5	69.7	63.4	72.1	NA
