lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	29.3	50.0	49.4	12.4	23.7	38.3	15.4	NA
en-de	36.5	59.4	56.4	10.4	21.8	36.1	19.0	NA
en-fi	29.2	41.4	47.7	10.7	18.6	NA	13.0	NA
en-fr	42.9	66.0	61.6	16.8	30.2	52.7	21.9	NA
en-lt	28.8	48.8	38.3	11.3	30.3	NA	27.2	NA
en-ro	37.6	53.8	48.0	10.7	17.8	29.6	17.0	NA
en-ta	NA	NA	28.4	11.9	31.6	22.9	18.9	NA
cs-en	33.2	51.3	40.9	9.3	15.6	36.0	18.2	NA
fr-en	36.5	52.0	37.3	11.1	21.0	29.2	25.2	NA
lt-en	30.8	52.5	35.1	8.9	19.1	NA	18.5	NA
ro-en	37.2	47.2	36.2	10.0	19.1	24.7	21.9	NA
mean	34.2	52.2	43.6	11.2	22.6	33.7	19.7	NA
