lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.6	96.4	86.6	93.2	94.8	98.4	97.8	NA
en-de	95.0	97.2	89.8	99.4	98.4	97.2	99.4	NA
en-fi	92.8	96.0	87.0	95.8	94.8	NA	98.6	NA
en-fr	94.2	98.0	86.0	95.4	96.8	98.2	98.8	NA
en-lt	93.6	95.4	82.8	94.0	93.8	NA	95.4	NA
en-ro	96.8	98.6	85.0	93.4	96.6	99.2	98.8	NA
en-ta	NA	NA	91.6	97.6	95.6	99.4	98.4	NA
cs-en	91.2	89.6	83.2	97.4	98.6	NA	98.4	NA
fr-en	94.2	96.0	89.6	98.4	98.2	NA	99.2	NA
lt-en	88.0	86.8	77.6	89.8	92.6	NA	88.2	NA
ro-en	93.6	94.2	83.0	97.2	97.2	NA	99.2	NA
mean	93.6	94.8	85.7	95.6	96.1	98.5	97.5	NA
