lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	NA	NA	NA	NA	NA	NA	NA	15.1
en-de	18.1	29.3	13.5	8.0	14.5	17.9	16.8	12.8
en-fi	15.2	19.8	6.9	7.1	11.7	NA	13.7	15.4
en-fr	NA	NA	NA	NA	NA	NA	NA	14.0
en-lt	NA	NA	NA	NA	NA	NA	NA	16.9
en-ro	NA	NA	NA	NA	NA	NA	NA	18.0
en-ta	NA	NA	9.7	10.9	23.0	21.7	18.2	17.2
cs-en	19.6	34.0	14.3	8.9	14.7	NA	16.7	NA
fr-en	19.9	34.3	20.2	8.1	15.5	NA	17.8	NA
lt-en	21.6	32.9	17.7	11.7	18.4	NA	19.4	NA
ro-en	21.4	32.3	15.2	8.3	14.4	NA	15.8	NA
mean	19.3	30.4	13.9	9.0	16.0	19.8	16.9	15.6
