lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	34.3	52.4	53.3	11.2	25.3	43.8	17.0	NA
en-de	34.0	56.5	52.1	10.6	20.5	38.6	18.7	NA
en-fi	31.5	44.4	52.5	11.6	21.0	NA	14.2	NA
en-fr	40.0	63.8	60.3	15.1	30.5	54.1	21.1	NA
en-lt	28.7	49.9	39.6	10.7	28.7	NA	25.7	NA
en-ro	34.0	57.3	48.7	11.0	17.6	31.0	17.3	NA
en-ta	NA	NA	31.6	12.1	31.8	24.7	18.4	NA
cs-en	29.8	54.3	42.1	9.4	16.5	40.7	18.0	NA
fr-en	32.9	51.6	41.1	13.4	21.3	32.0	21.3	NA
lt-en	30.3	56.9	37.4	9.8	20.0	NA	19.4	NA
ro-en	29.5	52.0	36.8	9.8	18.9	26.5	20.1	NA
mean	32.5	53.9	45.0	11.3	22.9	36.4	19.2	NA
