lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	89.4	95.2	76.2	87.6	93.4	97.0	97.0	NA
en-de	93.0	98.0	84.8	99.2	97.4	98.6	99.0	NA
en-fi	83.0	95.8	75.4	90.8	90.6	NA	95.6	NA
en-fr	93.4	97.2	82.0	94.4	95.0	99.2	98.8	NA
en-lt	77.4	95.2	71.4	91.4	89.8	NA	91.6	NA
en-ro	90.2	98.6	75.8	92.4	96.0	97.8	98.8	NA
en-ta	NA	NA	80.8	95.4	69.2	98.2	97.6	NA
cs-en	96.8	98.6	88.8	98.0	99.6	99.8	99.8	NA
fr-en	96.8	98.8	94.6	99.4	99.4	99.8	99.6	NA
lt-en	90.8	96.2	83.8	94.8	97.4	NA	98.0	NA
ro-en	97.8	99.0	86.6	98.2	99.2	99.6	99.6	NA
mean	90.9	97.3	81.8	94.7	93.4	98.8	97.8	NA
