lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	19.5	22.3	23.2	13.4	14.9	4.4	14.3	NA
en-de	26.6	27.6	22.7	18.6	22.8	12.0	22.5	NA
en-fi	12.9	10.5	21.7	7.1	13.1	NA	13.6	NA
en-fr	31.3	37.5	34.2	23.7	29.4	12.8	30.6	NA
en-lt	5.8	6.1	6.0	1.1	1.1	NA	1.7	NA
en-ro	24.8	25.9	23.6	17.2	18.5	5.7	21.6	NA
en-ta	NA	NA	1.2	0.9	0.5	0.1	0.1	NA
cs-en	37.4	37.9	29.9	25.8	24.8	NA	26.8	NA
fr-en	41.7	45.9	40.1	28.1	35.0	NA	35.5	NA
lt-en	12.6	16.8	7.5	3.9	5.5	NA	6.6	NA
ro-en	39.0	43.4	26.7	29.7	29.2	NA	33.6	NA
mean	25.2	27.4	21.5	15.4	17.7	7.0	18.8	NA
