lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.9	25.5	7.1	6.9	13.0	15.8	15.4	NA
en-de	18.2	27.8	12.1	7.9	13.6	16.9	16.5	NA
en-fi	13.9	19.4	7.3	7.1	11.7	NA	12.5	NA
en-fr	20.7	29.4	15.9	8.6	15.4	17.4	17.9	NA
en-lt	17.9	31.0	6.5	10.5	21.1	NA	24.1	NA
en-ro	20.1	28.1	7.2	7.8	13.8	17.2	16.4	NA
en-ta	NA	NA	8.5	9.6	22.7	21.2	18.4	NA
cs-en	18.9	30.2	7.3	7.4	12.7	23.2	15.7	NA
fr-en	16.8	29.5	14.6	7.6	14.3	16.9	16.5	NA
lt-en	16.8	29.9	7.0	6.4	14.4	NA	15.9	NA
ro-en	18.0	29.7	7.3	7.8	14.1	16.7	15.7	NA
mean	17.8	28.1	9.2	8.0	15.2	18.2	16.8	NA
