lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	79.0	84.1	77.7	71.6	73.6	65.0	76.7	NA
en-de	78.1	81.3	75.9	74.8	76.3	69.0	79.8	NA
en-fi	76.1	81.4	75.8	74.7	77.4	NA	79.7	NA
en-fr	80.1	85.2	75.4	75.2	76.1	69.8	80.6	NA
en-lt	47.8	46.0	62.0	51.7	45.2	NA	42.8	NA
en-ro	78.5	84.6	75.5	74.7	75.5	67.6	80.1	NA
en-ta	NA	NA	49.6	47.9	36.1	30.2	39.0	NA
cs-en	82.2	83.5	80.3	77.3	79.1	66.9	81.5	NA
fr-en	81.5	85.6	80.3	79.4	81.7	73.1	85.3	NA
lt-en	64.0	68.3	62.4	55.8	57.3	NA	58.1	NA
ro-en	81.2	85.1	80.0	79.4	80.0	66.1	83.8	NA
mean	74.8	78.5	72.3	69.3	68.9	63.5	71.6	NA
