lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.4	97.6	91.4	91.8	94.2	98.0	97.6	NA
en-de	95.4	99.2	92.6	99.4	98.4	97.8	99.4	NA
en-fi	95.4	96.0	88.4	96.4	95.2	NA	98.4	NA
en-fr	94.8	99.0	92.8	92.4	94.4	98.4	98.0	NA
en-lt	93.8	97.2	86.4	90.2	93.8	NA	94.8	NA
en-ro	96.4	99.4	85.8	92.8	95.4	99.0	98.4	NA
en-ta	NA	NA	95.2	98.0	96.0	99.8	98.8	NA
cs-en	98.2	99.4	94.2	98.2	99.4	100.0	99.6	NA
fr-en	98.2	99.8	96.6	98.8	99.6	99.8	99.6	NA
lt-en	96.2	98.4	90.0	95.8	98.0	NA	98.6	NA
ro-en	97.4	99.4	91.4	98.2	98.6	99.4	99.6	NA
mean	96.1	98.5	91.3	95.6	96.6	99.0	98.4	NA
