lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.0	24.9	7.9	7.1	12.5	16.5	14.7	NA
en-de	16.3	26.2	11.8	8.1	14.4	17.2	16.7	NA
en-fi	14.4	NA	7.9	7.1	10.7	NA	12.8	NA
en-fr	19.5	28.5	14.4	8.6	16.2	17.3	17.9	NA
en-lt	19.2	31.7	9.1	11.0	22.6	NA	22.5	NA
en-ro	18.6	27.6	7.1	7.8	13.6	17.0	16.0	NA
en-ta	NA	NA	12.4	12.3	21.8	22.4	17.7	NA
cs-en	19.1	31.1	9.4	7.6	12.9	23.5	15.9	17.7
fr-en	17.8	30.9	16.9	7.9	14.9	17.0	16.7	12.6
lt-en	20.4	36.6	12.7	6.6	15.7	NA	16.5	17.3
ro-en	19.0	30.1	10.5	8.0	14.0	17.0	15.9	19.4
mean	18.0	29.7	10.9	8.4	15.4	18.5	16.7	16.8
