lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	79.1	84.4	77.8	73.1	73.4	64.8	75.8	77.5
en-de	78.4	82.0	76.1	75.6	76.8	69.9	78.9	84.2
en-fi	77.3	81.4	76.0	75.2	77.5	NA	79.4	75.5
en-fr	79.6	85.3	76.6	74.9	77.3	69.6	80.7	85.0
en-lt	49.3	45.8	62.4	51.5	45.2	NA	43.5	55.1
en-ro	77.3	85.9	75.2	73.8	75.7	67.8	80.1	78.6
en-ta	NA	NA	50.2	47.6	35.4	30.2	37.8	42.0
cs-en	80.6	82.0	76.5	75.0	76.2	NA	78.1	NA
fr-en	81.3	84.9	78.7	77.8	79.3	NA	82.3	NA
lt-en	64.6	63.6	56.7	52.3	53.0	NA	53.9	NA
ro-en	79.0	83.3	75.7	75.7	76.5	NA	80.4	NA
mean	74.7	77.9	71.1	68.4	67.8	60.5	70.1	71.1
