lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.8	80.1	67.8	67.6	70.4	65.5	73.4	NA
en-de	73.8	78.5	68.2	70.3	72.5	66.9	76.4	NA
en-fi	74.4	77.9	67.0	70.4	73.7	NA	77.9	NA
en-fr	75.4	81.7	68.2	71.1	73.6	68.7	78.1	NA
en-lt	47.6	44.7	54.5	47.7	43.9	NA	42.7	NA
en-ro	75.2	82.2	66.7	70.7	72.7	67.0	77.1	NA
en-ta	NA	NA	46.5	46.7	38.2	33.5	39.4	NA
cs-en	76.2	77.1	65.3	70.9	72.6	NA	76.6	NA
fr-en	76.7	80.7	69.1	73.0	75.7	NA	80.2	NA
lt-en	62.0	62.4	52.6	51.0	52.9	NA	53.6	NA
ro-en	75.2	79.4	64.8	72.0	73.6	NA	79.0	NA
mean	71.3	74.5	62.8	64.7	65.4	60.3	68.6	NA
