lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.3	24.4	6.7	6.6	11.3	17.0	14.6	NA
en-de	15.2	26.4	11.1	7.8	13.6	16.9	16.5	NA
en-fi	12.3	18.2	5.4	7.1	11.0	NA	12.3	NA
en-fr	17.9	28.8	14.6	8.7	15.9	17.4	18.0	NA
en-lt	17.8	29.2	7.3	9.7	20.1	NA	23.2	NA
en-ro	17.4	27.3	7.1	7.7	13.9	17.1	16.2	NA
en-ta	NA	NA	8.6	9.7	22.4	21.7	18.1	NA
cs-en	17.3	29.9	7.8	7.4	12.7	NA	15.8	NA
fr-en	16.5	29.8	14.1	7.7	14.3	NA	16.7	NA
lt-en	17.5	31.5	8.9	7.4	17.0	NA	15.7	NA
ro-en	17.2	29.6	8.6	7.9	13.8	NA	15.5	NA
mean	16.4	27.5	9.1	8.0	15.1	18.0	16.6	NA
