lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.9	20.8	14.3	11.2	12.5	4.6	14.5	NA
en-de	22.2	26.4	18.6	18.6	21.7	12.2	22.8	NA
en-fi	9.5	7.5	10.2	6.9	11.8	NA	11.7	NA
en-fr	29.1	35.7	33.6	23.5	29.0	12.6	31.7	NA
en-lt	3.5	4.1	3.1	0.8	0.9	NA	1.4	NA
en-ro	20.8	24.3	20.2	18.2	19.5	5.5	21.5	NA
en-ta	NA	NA	0.5	0.6	0.6	0.0	0.1	NA
cs-en	31.2	36.6	20.5	26.0	25.8	9.7	27.9	30.0
fr-en	37.3	41.4	30.1	27.6	35.5	16.6	34.9	40.4
lt-en	11.3	14.4	5.1	6.0	8.4	NA	9.6	13.4
ro-en	37.4	40.7	17.7	31.5	31.2	9.9	35.6	37.6
mean	21.8	25.2	15.8	15.5	17.9	8.9	19.2	30.4
