lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	6.7	9.7	1.9	6.6	5.6	1.7	11.7	NA
en-de	9.8	11.9	3.9	12.2	14.8	5.3	19.5	NA
en-fi	4.2	3.3	1.7	3.6	5.7	NA	11.1	NA
en-fr	12.8	14.9	7.6	11.6	13.4	3.6	25.2	NA
en-lt	2.2	2.6	0.8	0.9	0.8	NA	1.2	NA
en-ro	9.6	10.4	2.2	10.3	13.5	2.7	18.1	NA
en-ta	NA	NA	0.1	0.6	0.8	0.0	0.1	NA
cs-en	18.5	19.0	3.7	19.0	19.6	5.4	25.7	NA
fr-en	17.4	21.5	10.2	13.3	21.2	8.3	24.9	NA
lt-en	6.2	8.2	1.3	2.7	5.6	NA	6.9	NA
ro-en	21.3	20.6	4.4	24.2	21.5	5.7	26.0	NA
mean	10.9	12.2	3.4	9.5	11.1	4.1	15.5	NA
