lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	12.7	17.6	6.8	8.8	8.6	3.3	11.2	11.4
en-de	13.3	16.1	7.8	8.2	15.0	6.4	16.2	11.4
en-fi	7.0	7.0	6.7	5.3	9.1	NA	9.6	6.9
en-fr	16.9	25.4	16.6	15.2	17.6	5.6	20.3	16.4
en-lt	4.3	5.0	2.8	0.7	0.9	NA	1.1	3.9
en-ro	17.8	22.9	11.4	13.6	17.0	4.4	20.0	17.9
en-ta	NA	NA	0.7	0.6	0.6	0.0	0.1	1.2
cs-en	23.9	26.5	9.7	19.5	20.4	NA	23.5	NA
fr-en	23.3	29.6	19.5	18.8	24.6	NA	26.6	NA
lt-en	8.4	10.4	2.3	2.3	4.7	NA	4.9	NA
ro-en	26.6	28.4	9.5	19.0	24.5	NA	28.8	NA
mean	15.4	18.9	8.5	10.2	13.0	3.9	14.8	9.9
